"Taxon","Estimated_Spatiotemporal_probability","Number_of_records","Max_probability","Min_probability"
"Potentilla erecta (L.) Raeusch.",98.7,2,91.3,84.7
"Utricularia vulgaris L.",98.7,8,66.6,0.3
"Erodium botrys (Cav.) Bertol.",98.6,3,85.7,69.2
"Oenothera laciniata Hill",98.6,6,84.4,1.3
"Catapodium rigidum (L.) C.E.Hubb. subsp. rigidum",98.5,5,82.6,2.2
"Cyperus longus L.",98.5,3,85.7,26.2
"Paspalum dilatatum Poir.",98.5,6,86.5,1.3
"Galium palustre L. subsp. elongatum (C.Presl) Lange",98.4,3,85.7,26.2
"Helminthotheca echioides (L.) Holub",98.4,3,88.5,2.2
"Spirodela polyrhiza (L.) Schleid.",98.4,4,85.2,34.1
"Phalaris paradoxa L.",98.3,10,72.3,2.1
"Ambrosia psilostachya DC.",98.2,3,84.6,27.4
"Eleocharis multicaulis (Sm.) Desv.",98.2,2,87.4,85.7
"Hypochaeris radicata L.",98.2,4,84.7,2.2
"Onobrychis caput-galli (L.) Lam.",98.2,4,83.4,23.2
"Persicaria maculosa (L.) Gray",98.2,4,84.7,2.2
"Rumex crispus L.",98.2,5,84.7,2.2
"Alopecurus myosuroides Huds. subsp. myosuroides",98.1,4,85.7,2.2
"Phalaris brachystachys Link",98.1,10,70.3,2.2
"Anisantha sterilis (L.) Nevski",98,3,85.7,2.2
"Athyrium filix-femina (L.) Roth",98,2,85.7,85.7
"Carex hirta L.",98,2,85.7,85.7
"Paspalum distichum L. subsp. distichum",98,5,81.1,2.8
"Poa angustifolia L.",98,2,85.7,85.7
"Silene gallica L.",98,2,85.7,85.7
"Crepis setosa Haller f.",97.9,3,85.7,2.2
"Galium aparine L.",97.9,3,85.7,2.2
"Ornithopus compressus L.",97.9,3,85.7,2.2
"Verbena officinalis L.",97.9,3,85.7,2.2
"Arctium minus (Hill) Bernh.",97.8,2,85.7,84.7
"Ballota nigra L. subsp. nigra",97.8,2,85.7,84.7
"Bidens frondosa L.",97.8,5,86.7,2.2
"Cuscuta epithymum (L.) L. subsp. epithymum",97.8,2,85.7,84.7
"Helosciadium nodiflorum (L.) W.D.J.Koch",97.8,6,66.6,2.2
"Vicia cordata Wulfen ex Hoppe",97.8,2,85.7,84.7
"Centaurium pulchellum (Sw.) Druce subsp. pulchellum",97.7,5,85.7,10.5
"Glechoma hederacea L.",97.7,3,89.9,2.2
"Trifolium pratense L. subsp. pratense",97.7,4,84.7,2.2
"Bellevalia romana (L.) Sweet",97.6,3,85.7,2.2
"Oreoselinum nigrum Delarbre",97.6,4,76.4,23.2
"Geranium robertianum L.",97.5,3,84.8,2.2
"Senecio vulgaris L. subsp. vulgaris",97.5,4,84.7,2.2
"Spergularia media (L.) C.Presl",97.5,3,73.5,65.6
"Anisantha madritensis (L.) Nevski  subsp. madritensis",97.4,3,84.8,2.2
