"x"
"Sonchus bulbosus (L.) N.Kilian & Greuter subsp. bulbosus"
"Carex hirta L."
"Juncus tenageia L.f. subsp. tenageia"
"Bellevalia romana (L.) Sweet"
"Asparagus officinalis L. subsp. officinalis"
"Muscari neglectum Guss. ex Ten."
"Romulea columnae Sebast. & Mauri"
"Iris germanica L."
"Colchicum lusitanum Brot."
"Dioscorea communis (L.) Caddick & Wilkin"
"Anacamptis morio (L.) R.M.Bateman, Pridgeon & M.W.Chase"
"Salix caprea L."
"Ulmus glabra Huds."
"Osyris alba L."
"Cytinus hypocistis (L.) L."
"Persicaria maculosa (L.) Gray"
"Avena barbata Pott ex Link"
"Molinia caerulea (L.) Moench"
"Montia arvensis Wallr."
"Hypericum tetrapterum Fr."
"Bromus racemosus L. subsp. racemosus"
"Hypericum humifusum L."
"Hypericum perforatum L. subsp. veronense (Schrank) Ces."
"Helianthemum nummularium (L.) Mill. subsp. obscurum (Celak.) Holub"
"Turritis glabra L."
"Viola arvensis Murray subsp. arvensis"
"Cerastium brachypetalum Desp. ex Pers. subsp. brachypetalum"
"Draba verna L. subsp. praecox (Steven) Rouy & Foucaud"
"Geum urbanum L."
"Rubus sulcatus Vest"
"Aphanes australis Rydb."
"Rosa agrestis Savi"
"Lupinus angustifolius L."
"Umbilicus rupestris (Salisb.) Dandy"
"Poterium sanguisorba L. subsp. sanguisorba"
"Trifolium pallidum Waldst. & Kit."
"Lotus angustissimus L."
"Lathyrus aphaca L. subsp. aphaca"
"Lathyrus ochrus (L.) DC."
"Vicia cordata Wulfen ex Hoppe"
"Vicia lathyroides L."
"Peplis portula L."
"Lythrum hyssopifolia L."
"Pastinaca sativa L. subsp. sativa"
"Oenanthe aquatica (L.) Poir."
"Aesculus hippocastanum L."
"Geranium rotundifolium L."
"Ailanthus altissima (Mill.) Swingle"
"Epilobium tetragonum L. subsp. tetragonum"
"Erodium botrys (Cav.) Bertol."
"Ludwigia palustris (L.) Elliott"
"Olea europaea L. subsp. europaea"
"Myosotis gussonei Jan"
"Arbutus unedo L."
"Verbascum blattaria L."
"Kickxia commutata (Bernh. ex Rchb.) Fritsch subsp. commutata"
"Euphorbia esula L. subsp. esula"
"Veronica scutellata L."
"Parentucellia latifolia (L.) Caruel"
"Orobanche hederae Duby"
"Teucrium scorodonia L."
"Galium lucidum All. subsp. lucidum"
"Salvia verbenaca L."
"Asperula cynanchica L. subsp. cynanchica"
"Valerianella locusta (L.) Laterr."
"Filago pyramidata L."
"Helichrysum italicum (Roth) G.Don subsp. italicum"
"Pentanema squarrosum (L.) D.Gut.Larr., SantosVicente, Anderb., E.Rico & M.M.Mart.Ort."
"Cota tinctoria (L.) J.Gay subsp. tinctoria"
"Valerianella eriocarpa Desv."
"Leontodon saxatilis Lam. subsp. saxatilis"
"Tragopogon eriospermus Ten."
"Crepis vesicaria L."
"Hieracium bifidum Kit. ex Hornem."
"Fimbristylis squarrosa Vahl"
"Carex distachya Desf."
"Carex caryophyllea Latourr."
"Carex liparocarpos Gaudin subsp. liparocarpos"
"Parapholis incurva (L.) C.E.Hubb. subsp. incurva"
"Parapholis filiformis (Roth) C.E.Hubb."
"Cyperus flavescens L."
"Agrostis stolonifera L. subsp. maritima (Lam.) Vasc."
"Setaria verticillata (L.) P.Beauv."
"Trifolium arvense L. subsp. arvense"
"Potamogeton nodosus Poir."
"Adiantum capillus-veneris L."
"Selaginella denticulata (L.) Spring"
"Asplenium scolopendrium L. subsp. scolopendrium"
"Equisetum ramosissimum Desf. subsp. ramosissimum"
"Sempervivum tectorum L."
"Artemisia verlotiorum Lamotte"
"Cycloloma atriplicifolium (Spreng.) J.M.Coult."
"Polygala flavescens DC. subsp. flavescens"
"Tetragonia tetragonoides (Pallas) Kuntze"
"Symphytum tanaicense Steven"
"Phalaris paradoxa L."
"Adonis annua L."
"Sporobolus schoenoides (L.) P.M.Peterson"
"Phalaris aquatica L."
"Phalaris brachystachys Link"
"Utricularia australis R.Br."
"Euphorbia nutans Lag."
"Gleditsia triacanthos L."
